id,slug,filename,source_url,alt_text,title,caption,description,date,mime_type
"27201","freelancer-moon-phase-midnight-blue-2945%e2%80%91pc5%e2%80%9150001","2025/04/RW_Freelancer_Moon-Phase_Midnight-Blue_2945-pc5-50001.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Moon-Phase_Midnight-Blue_2945-pc5-50001.webp","Raymond Weil Freelancer Moon Phase Midnight Blue - Palladio Jewellers","Freelancer Moon Phase Midnight Blue (2945‑PC5‑50001)","<p>Millesime Collection | Freelancer Moon Phase Midnight Blue by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Moon-Phase_Midnight-Blue_2945-pc5-50001.webp'><img fetchpriority=""high"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Moon-Phase_Midnight-Blue_2945-pc5-50001.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Freelancer Moon Phase Midnight Blue - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Freelancer Moon Phase in Midnight Blue (Ref. 2945‑PC5‑50001) at Palladio Jewellers.</p>
","2025-04-17T05:06:22","image/webp"
"27200","millesime-automatic-small-seconds-rose-gold-diamonds-2130%e2%80%91c5%e2%80%9164001i","2025/04/Raymind-Weil_Millesime_Automatic-Small-Seconds_Rose-Gold_Diamonds-Watch_2130-C5-64001i.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymind-Weil_Millesime_Automatic-Small-Seconds_Rose-Gold_Diamonds-Watch_2130-C5-64001i.webp","Raymond Weil Millesime Automatic Small Seconds Rose Gold Diamonds - Palladio Jewellers","Millesime Automatic Small Seconds Rose Gold Diamonds (2130‑C5‑64001i)","<p>Millesime Collection | Automatic Small Seconds Rose Gold Diamonds by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymind-Weil_Millesime_Automatic-Small-Seconds_Rose-Gold_Diamonds-Watch_2130-C5-64001i.webp'><img width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymind-Weil_Millesime_Automatic-Small-Seconds_Rose-Gold_Diamonds-Watch_2130-C5-64001i.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Small Seconds Rose Gold Diamonds - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Millesime Automatic Small Seconds in Rose Gold with Diamonds (Ref. 2130‑C5‑64001i) at Palladio Jewellers.</p>
","2025-04-17T05:06:19","image/webp"
"27199","millesime-automatic-tri%e2%80%91compax-chronograph-black-7765%e2%80%91pc5%e2%80%9120631","2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph-Black_7765-PC5-20631.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph-Black_7765-PC5-20631.webp","Raymond Weil Millesime Automatic Tri‑Compax Chronograph Black - Palladio Jewellers","Millesime Automatic Tri‑Compax Chronograph Black (7765‑PC5‑20631)","<p>Millesime Collection | Automatic Tri‑Compax Chronograph Black by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph-Black_7765-PC5-20631.webp'><img width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph-Black_7765-PC5-20631.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Tri‑Compax Chronograph Black - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Millesime Automatic Tri‑Compax Chronograph Black (Ref. 7765‑PC5‑20631) at Palladio Jewellers.</p>
","2025-04-17T05:06:14","image/webp"
"27198","millesime-infinite-burgundy-limited-edition-2925%e2%80%91stc%e2%80%91apc01","2025/04/Raymond-Weil_Millesime_Infinite-Burgandy_Limited-Edition_2925-stc-APC01.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Infinite-Burgandy_Limited-Edition_2925-stc-APC01.webp","Raymond Weil Millesime Infinite Burgundy Limited Edition - Palladio Jewellers","Millesime Infinite Burgundy Limited Edition (2925‑STC‑APC01)","<p>Millesime Collection | Infinite Burgundy Limited Edition by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Infinite-Burgandy_Limited-Edition_2925-stc-APC01.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Infinite-Burgandy_Limited-Edition_2925-stc-APC01.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Infinite Burgundy Limited Edition - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Millesime Infinite Burgundy Limited Edition (Ref. 2925‑STC‑APC01) at Palladio Jewellers.</p>
","2025-04-17T05:06:12","image/webp"
"27197","millesime-automatic-small-seconds-menthol-minute-track-2130%e2%80%91stc%e2%80%9160521","2025/04/RW_Millesime_Automatic-Small-Seconds-Menthol-Minute-Track-Watch_2130-STC-60521.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Small-Seconds-Menthol-Minute-Track-Watch_2130-STC-60521.webp","Raymond Weil Millesime Automatic Small Seconds Menthol Minute Track - Palladio Jewellers","Millesime Automatic Small Seconds Menthol Minute Track (2130‑STC‑60521)","<p>Millesime Collection | Automatic Small Seconds Menthol Minute Track by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Small-Seconds-Menthol-Minute-Track-Watch_2130-STC-60521.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Small-Seconds-Menthol-Minute-Track-Watch_2130-STC-60521.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Small Seconds Menthol Minute Track - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Millesime Automatic Small Seconds Menthol Minute Track (Ref. 2130‑STC‑60521) at Palladio Jewellers.</p>
","2025-04-17T05:06:09","image/webp"
"27196","millesime-automatic-small-seconds-diamonds-2130%e2%80%91c5s%e2%80%9164001","2025/04/Raymond-Weil_Millesime_Automatic-Small-Seconds_Diamonds-Watch_2130-C5S-64001.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Automatic-Small-Seconds_Diamonds-Watch_2130-C5S-64001.webp","Raymond Weil Millesime Automatic Small Seconds Diamonds - Palladio Jewellers","Millesime Automatic Small Seconds Diamonds (2130‑C5S‑64001)","<p>Millesime Collection | Automatic Small Seconds Diamonds by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Automatic-Small-Seconds_Diamonds-Watch_2130-C5S-64001.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Millesime_Automatic-Small-Seconds_Diamonds-Watch_2130-C5S-64001.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Small Seconds Diamonds - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Millesime Automatic Small Seconds with Diamonds (Ref. 2130‑C5S‑64001) at Palladio Jewellers.</p>
","2025-04-17T05:06:06","image/webp"
"27195","millesime-automatic-tri%e2%80%91compax-chronograph-ss-7765%e2%80%91st%e2%80%9160651","2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_SS_7765-ST-60651.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_SS_7765-ST-60651.webp","Raymond Weil Millesime Automatic Tri‑Compax Chronograph SS - Palladio Jewellers","Millesime Automatic Tri‑Compax Chronograph SS (7765‑ST‑60651)","<p>Millesime Collection | Automatic Tri‑Compax Chronograph SS by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_SS_7765-ST-60651.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_SS_7765-ST-60651.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Tri‑Compax Chronograph SS - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Explore the Raymond Weil Millesime Automatic Tri‑Compax Chronograph SS (Ref. 7765‑ST‑60651) at Palladio Jewellers.</p>
","2025-04-17T05:06:03","image/webp"
"27194","millesime-automatic-tri%e2%80%91compax-chronograph-7765%e2%80%91stc%e2%80%9160651","2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_7765-STC-60651.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_7765-STC-60651.webp","Raymond Weil Millesime Automatic Tri‑Compax Chronograph - Palladio Jewellers","Millesime Automatic Tri‑Compax Chronograph (7765‑STC‑60651)","<p>Millesime Collection | Automatic Tri‑Compax Chronograph by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_7765-STC-60651.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Millesime_Automatic-Tri-Compax-Chronograph_7765-STC-60651.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Millesime Automatic Tri‑Compax Chronograph - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Explore the Raymond Weil Millesime Automatic Tri‑Compax Chronograph (Ref. 7765‑STC‑60651), available at Palladio Jewellers.</p>
","2025-04-17T05:06:00","image/webp"
"27193","freelancer-ladies-automatic-moon-phase-yellow-gold-2490%e2%80%91p%e2%80%9110051","2025/04/RW_Freelancer_Ladies-Automatic-Moon-Phase_2490-P-10051_Yellow-Gold.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Ladies-Automatic-Moon-Phase_2490-P-10051_Yellow-Gold.webp","Raymond Weil Freelancer Ladies Automatic Moon Phase Yellow Gold - Palladio Jewellers","Freelancer Ladies Automatic Moon Phase Yellow Gold (2490‑P‑10051)","<p>Freelancer Collection | Ladies Automatic Moon Phase by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Ladies-Automatic-Moon-Phase_2490-P-10051_Yellow-Gold.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/RW_Freelancer_Ladies-Automatic-Moon-Phase_2490-P-10051_Yellow-Gold.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Freelancer Ladies Automatic Moon Phase Yellow Gold - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Freelancer Ladies Automatic Moon Phase in Yellow Gold (Ref. 2490‑P‑10051), only at Palladio Jewellers.</p>
","2025-04-17T05:05:57","image/webp"
"27192","freelancer-complete-calendar-blue-sunray-dial-40-mm-2766%e2%80%91st%e2%80%9150001","2025/04/Raymond-Weil_Freelancer-Complete-Calendar_Blue-Sunray-Dial-Watch_40mm_2766-ST-50001.webp","https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Freelancer-Complete-Calendar_Blue-Sunray-Dial-Watch_40mm_2766-ST-50001.webp","Raymond Weil Freelancer Complete Calendar Blue Sunray Dial 40 mm - Palladio Jewellers","Freelancer Complete Calendar Blue Sunray Dial 40 mm (2766‑ST‑50001)","<p>Freelancer Collection | Complete Calendar Blue Sunray Dial by Raymond Weil</p>
","<p class=""attachment""><a href='https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Freelancer-Complete-Calendar_Blue-Sunray-Dial-Watch_40mm_2766-ST-50001.webp'><img loading=""lazy"" width=""700"" height=""860"" src=""https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/04/Raymond-Weil_Freelancer-Complete-Calendar_Blue-Sunray-Dial-Watch_40mm_2766-ST-50001.webp"" class=""attachment-medium size-medium"" alt=""Raymond Weil Freelancer Complete Calendar Blue Sunray Dial 40 mm - Palladio Jewellers"" decoding=""async"" /></a></p>
<p>Discover the Raymond Weil Freelancer Complete Calendar Blue Sunray Dial 40 mm (Ref. 2766‑ST‑50001) at Palladio Jewellers.</p>
","2025-04-17T05:05:54","image/webp"
